repo_name,total_resources,resource_types,nested_stacks,cross_stack_refs,custom_resources,sam_transforms,parameters,conditions,has_terraform,cfn_lines,aws_account_ids,app_ids
agentcore_strands,21,AWS::DynamoDB::Table|AWS::Logs::LogGroup|AWS::S3::Bucket|AWS::Serverless::Function,0,0,0,true,2,0,false,425,none,none
app-migration-plato-jobs,4,AWS::Serverless::Function|AWS::Serverless::LayerVersion,0,0,0,true,0,0,true,90,none,none
eweb-backup-get-apis,215,AWS::CloudWatch::Alarm|AWS::CloudWatch::AnomalyDetector|AWS::IAM::Role|AWS::OpenSearchServerless::AccessPolicy|AWS::Serverless::Api|AWS::Serverless::Function|AWS::Serverless::LayerVersion|AWS::SSM::Parameter,0,0,0,true,15,3,false,5452,none,none
aws-oih-fis,27,AWS::EC2::Image|AWS::EC2::Instance|AWS::EC2::SecurityGroup|AWS::EC2::Subnet|AWS::EC2::VPC|AWS::FIS::ExperimentTemplate|AWS::IAM::InstanceProfile|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Logs::LogGroup|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SSM::Parameter,0,0,0,false,2,0,false,1113,none,none
pge-ecm-pwtodctm-emailnotification,8,AWS::IAM::Policy|AWS::IAM::Role|AWS::Lambda::Function|AWS::SSM::Parameter,0,0,0,false,1,0,false,271,none,none
ew-post-apis,77,AWS::ApiGateway::UsagePlan|AWS::CloudWatch::Alarm|AWS::IAM::Role|AWS::Serverless::Api|AWS::Serverless::Function|AWS::Serverless::LayerVersion|AWS::SSM::Parameter,0,0,0,true,1,1,false,2346,none,none
meteorology-operations,947,AWS::ApplicationAutoScaling::ScalableTarget|AWS::ApplicationAutoScaling::ScalingPolicy|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::DynamoDB::Table|AWS::EC2::SecurityGroup|AWS::Events::Rule|AWS::Glue::Crawler|AWS::Glue::Database|AWS::Glue::Job|AWS::Glue::Table|AWS::Glue::Trigger|AWS::IAM::Policy|AWS::IAM::Role|AWS::Lambda::EventInvokeConfig|AWS::Lambda::EventSourceMapping|AWS::Lambda::Permission|AWS::Lambda::Version|AWS::RDS::DBCluster|AWS::RDS::DBClusterParameterGroup|AWS::RDS::DBInstance|AWS::RDS::DBParameterGroup|AWS::RDS::DBSubnetGroup|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::Serverless::Function|AWS::Serverless::LayerVersion|AWS::SNS::Subscription|AWS::SNS::Topic|AWS::SNS::TopicPolicy|AWS::SQS::Queue|AWS::SQS::QueuePolicy|AWS::SSM::Parameter,0,1,0,true,28,28,false,28575,034420808610|075683794790|104891172899|123901341784|336392948345|850755775074|865440211801|868907362424|900405192347|967517989313,none
eweb-auth-lambda,94,AWS::CloudWatch::Alarm|AWS::CloudWatch::AnomalyDetector|AWS::IAM::Role|AWS::Serverless::Api|AWS::Serverless::Function|AWS::Serverless::LayerVersion|AWS::SSM::Parameter,0,0,0,true,1,3,false,2881,none,none
Meteorology-Model-Integration,441,AWS::EFS::AccessPoint|AWS::EFS::FileSystem|AWS::EFS::MountTarget|AWS::Events::Rule|AWS::Glue::Connection|AWS::Glue::Crawler|AWS::Glue::Database|AWS::Glue::Job|AWS::Glue::Trigger|AWS::IAM::Role|AWS::Lambda::Permission|AWS::Logs::LogGroup|AWS::Serverless::Function|AWS::SSM::Parameter|AWS::StepFunctions::Activity|AWS::StepFunctions::StateMachine,0,0,0,true,14,6,false,12488,336392948345|967517989313,none
meteorology-alpha,140,AWS::Events::Rule|AWS::Lambda::Permission|AWS::Serverless::Function|AWS::SSM::Parameter,0,0,0,true,8,3,false,2034,336392948345,none
aws-transit-pan,24,AWS::AutoScaling::AutoScalingGroup|AWS::AutoScaling::LifecycleHook|AWS::EC2::LaunchTemplate|AWS::EC2::SecurityGroup|AWS::Events::Rule|AWS::IAM::InstanceProfile|AWS::IAM::Role|AWS::KMS::Alias|AWS::KMS::Key|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::S3::Bucket|AWS::S3::BucketPolicy,0,48,1,false,1,0,false,1877,100538557244|223104556128|242937548904,APP-2102
pge-ecm-crm-efscsi-05,6,AWS::EC2::SecurityGroup|AWS::EC2::SecurityGroupIngress|AWS::EFS::FileSystem|AWS::EFS::MountTarget,0,0,0,false,1,0,false,68,none,none
gis-geomartcloud-wsoc-hawc-wiv-ui,2,AWS::CloudFormation::Interface|AWS::CloudFront::Distribution|AWS::IAM::Role|AWS::Lambda::Function|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SecretsManager::Secret|AWS::SSM::Parameter|AWS::WAF::IPSet|AWS::WAF::Rule|AWS::WAF::WebACL|AWS::WAFRegional::IPSet|AWS::WAFRegional::Rule|AWS::WAFRegional::WebACL,0,2,2,false,3,4,false,788,514712703977, !Ref
gis-geomartcloud-pspsv4-batch-event-reports,44,AWS::EC2::SecurityGroup|AWS::EC2::SecurityGroupIngress|AWS::ECS::TaskDefinition|AWS::IAM::Role|AWS::Lambda::EventSourceMapping|AWS::Lambda::Function|AWS::Logs::LogGroup|AWS::SecretsManager::Secret|AWS::SSM::Parameter,0,0,0,false,2,0,false,2622,none, !Ref|APP-2324
psps-viz-project-infra,307,AWS::Amplify::App|AWS::Amplify::Branch|AWS::ApiGateway::Account|AWS::ApiGatewayV2::ApiMapping|AWS::ApiGatewayV2::DomainName|AWS::CloudFormation::Interface|AWS::CloudFront::Distribution|AWS::CodeBuild::Project|AWS::CodeBuild::SourceCredential|AWS::CodePipeline::Pipeline|AWS::CodePipeline::Webhook|AWS::Elasticsearch::Domain|AWS::IAM::ManagedPolicy|AWS::IAM::Policy|AWS::IAM::Role|AWS::IAM::ServiceLinkedRole|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::Logs::LogGroup|AWS::Logs::ResourcePolicy|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SSM::Parameter,0,0,7,false,20,6,false,5741,260188172524|435785788682|471986645812|514712703977|686137062481|725887861453|740871259156|972333128287,none
aws-dash-windev,0,AWS::SSM::Document,0,0,0,false,0,0,true,262,686137062481,APP-3216
pge-ecm-crmbus-agentservice,28,AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::CodePipeline::Webhook|AWS::CodeStarNotifications::NotificationRule|AWS::EC2::SecurityGroup|AWS::ECR::Repository|AWS::IAM::Policy|AWS::IAM::Role|AWS::SSM::Parameter,0,0,0,false,4,16,false,4074,none,none
pge-ecm-crm-aws-load-balancer-controller-09,0,AWS::IAM::ManagedPolicy,0,0,0,false,0,0,false,150,none,none
aws-privatelink-elb-aigateway,29,AWS::CloudFormation::Interface|AWS::CloudWatch::Alarm|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::ElasticLoadBalancingV2::Listener|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::ElasticLoadBalancingV2::TargetGroup|AWS::Events::Rule|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::SNS::Topic|AWS::SSM::Parameter|AWS::WAFv2::WebACLAssociation,0,0,2,false,2,6,false,1615,242937548904|514712703977|686137062481,APP-2102
aws-privatelink-elb,43,AWS::CloudFormation::Interface|AWS::CloudWatch::Alarm|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::ElasticLoadBalancingV2::Listener|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::ElasticLoadBalancingV2::TargetGroup|AWS::Events::Rule|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::SNS::Topic|AWS::SSM::Parameter|AWS::WAFv2::WebACLAssociation,0,0,2,false,4,7,false,2797,242937548904|514712703977|686137062481,APP-2102
eimule-rtf,35,AWS::CloudFormation::Interface|AWS::EC2::Image|AWS::EC2::Instance|AWS::EC2::SecurityGroup|AWS::EC2::Subnet|AWS::EC2::VPC|AWS::IAM::InstanceProfile|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::IAM::ServiceLinkedRole|AWS::KMS::Alias|AWS::KMS::Key|AWS::Lambda::Function|AWS::RDS::DBCluster|AWS::RDS::DBClusterParameterGroup|AWS::RDS::DBInstance|AWS::RDS::DBParameterGroup|AWS::RDS::DBSubnetGroup|AWS::S3::Bucket|AWS::SecretsManager::Secret|AWS::SecretsManager::SecretTargetAttachment|AWS::SSM::Parameter,0,2,2,false,7,5,true,1874,514712703977,APP-3459
gis-geomartcloud-pspsv4-batch-epssevent,17,AWS::EC2::SecurityGroup|AWS::EC2::SecurityGroupIngress|AWS::ECS::TaskDefinition|AWS::IAM::Role|AWS::Lambda::EventSourceMapping|AWS::Lambda::Function|AWS::Logs::LogGroup|AWS::SSM::Parameter|AWS::StepFunctions::StateMachine,0,0,0,false,1,0,false,1239,none, !Ref|APP-2753
gis-geomartcloud-pspsv4-api-event-reports,18,AWS::ApiGateway::Authorizer|AWS::ApiGateway::Deployment|AWS::ApiGateway::GatewayResponse|AWS::ApiGateway::Method|AWS::ApiGateway::Resource|AWS::ApiGateway::RestApi|AWS::ApiGateway::Stage|AWS::EC2::SecurityGroup|AWS::EC2::SecurityGroupIngress|AWS::IAM::Role|AWS::Lambda::Function|AWS::SQS::Queue|AWS::SQS::QueuePolicy|AWS::SSM::Parameter,0,0,0,false,1,2,false,1054,none, !Ref|APP-2324
aws-fis-chaos,28,AWS::AutoScaling::AutoScalingGroup|AWS::CloudFormation::Interface|AWS::CloudWatch::Dashboard|AWS::EC2::LaunchTemplate|AWS::EC2::SecurityGroup|AWS::EC2::Subnet|AWS::EC2::VPC|AWS::ElastiCache::ReplicationGroup|AWS::ElastiCache::SubnetGroup|AWS::ElasticLoadBalancingV2::Listener|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::ElasticLoadBalancingV2::TargetGroup|AWS::FIS::ExperimentTemplate|AWS::IAM::InstanceProfile|AWS::IAM::Role|AWS::Lambda::Function|AWS::Logs::LogGroup|AWS::RDS::DBCluster|AWS::RDS::DBInstance|AWS::RDS::DBSubnetGroup|AWS::SecretsManager::Secret,0,0,2,false,6,0,true,2068,514712703977,APP-3373
aws-iam-service-account-kiosk,24,AWS::CloudFormation::Interface|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::SSM::Parameter,0,0,0,false,1,3,true,1280,188619942792|514712703977|686137062481,none
Internaltesting-stco,8,AWS::Serverless::Function,0,0,0,true,0,0,false,160,none,none
pge-secinfra,1,AWS::CloudFormation::Interface|AWS::EC2::Instance|AWS::EC2::PrefixList|AWS::EC2::SecurityGroup|AWS::EC2::VPC|AWS::IAM::InstanceProfile|AWS::IAM::Role|AWS::KMS::Alias|AWS::KMS::Key|AWS::SQS::Queue|AWS::SQS::QueuePolicy,0,0,0,false,1,3,true,916,801458782278|925741509387,APP-2102
